user_id,review
0,"really happy they got evangelised .. spoiler alert==happy ending liked that..since started bit worrisome... but yeah great stories these missionary movies, really short only half hour but still great"
1,"Having lived in West New Guinea (Papua) during the time period covered in this video, it is realistic, accurate, and conveys well the entrance of light and truth into a culture that was for centuries dead to and alienated from God."
2,Excellent look into contextualizing the Gospel and God's sovereignty over cultural barriers. The book and movie are both captivating. I would definitely recommend to both Christians and non-believers.
3,"More than anything, I've been challenged to find ways to share Christ is a culturally relevant way to those around me.  Peace child is a cherished ""how to"" for me to do that."
4,"This is a great movie for a missionary going into a foreign country, especially one that is not used to foreign presence. But, it was a little on the short side."
5,This movie was in ENGLISH....it was a great summary of the book and the experience of the Richardsons while in New Guinea.
6,"This is a fascinating true story, well acted by many of the actual characters.  Watch this and see just one of countless examples of how faithfully God works out ways for all of mankind to find Him, in every culture."
7,This DVD appears to be in German. It is not in english. I do not speak German.  This needs to be corrected. I want my $1.99 back.
8,This movie is not in English although the title of the movie is as is the book. There is no forewarning anywhere that the movie is not in English. Sounds like it might be Russian?
9,"So sorry I didn't purchase this years ago when it first came out!!  This is very good and entertaining!  We absolutely loved it and anticipate seeing it repeatedly.  We actually wore out the cassette years back, so we also purchased this same product on cd.  Best purchase we made out of all!  Would purchase on dvd if we could find one."
10,"Product received quickly from seller. Product was in great condition as stated. People who enjoy southern gospel music will be thrilled with this offering by the various Cathedral performers, with the exception of Payne and Younce, down through the years. Also quite happy with service. Would use seller again."
11,Believe me when I tell you that you will receive a blessing watching this video of the Cathedral Quartet.  They bring back most of the singers that were ever in their group and it is a really great VHS.
12,This video arrived in perfect shape to the far away country of New Zealand It is a really blessing to see all the different members of the quartet over the years. Great singing! Pastor Greg
13,"The Reunion of the Cathedral Quartet in 1995 was an effort to salute the men who had contributed to this great Southern Gospel quartet.  The driving force behind the quartet was Glen Payne and George Younce, who remained with the group through several personnel changes.  This video is full of moments of laughter and sentiment, and the music is outstanding."
14,"Wedding Music (3:22) Get 25 FREE MP3s! Choose from over 2.8 Million songs!
Works on any MP3 player, including the iPod!
2  O Come Along (3:04)
3  Hide Thou Me (3:45)
4  I Want To Walk Just As Close As I Can (2:47)
5  The Unclouded Day (4:17)
6  Sunshine and Roses (5:06)
7  Cleanse Me (3:43)
8  Yesterday (5:20)
9  I'm Gonna Shout All Over Heaven (2:51)
10  I'll Be List'ing (2:08)
11  He Loves Me (5:27)
12  Sin Will Take You Farther (3:21)
13  I've Just Started Living (4:50)
14  Champion Of Love (5:24)
15  Goodbye World, Goodbye (1:57)
16  The Master Builder (3:40)
17  Somebody Touched Me (5:06)
18  Step Into The Water (3:21)
19  Moving Up To Gloryland (2:53)
20  I Know A Man Who Can (4:16)"
15,This is truly a moving video to watch if you like great southern gospel quartets. It has some of the greatest singers that have made up the greatest gospel quartet of all time and even the ones that have not been  with the Cathedrals for 30 years still sound fantastic. It is a blessing to  watch.
16,"It is an excellent experience to watch this DVD after all these years of being an X fan.  It was also very cool to watch this right after a repeated viewing of the DVD X--The Unheard Music (1985).  X still has every ounce of energy and connection it had back then. The only reason I gave it four stars is that John Doe's Bass is overshadowed in the mix.  But having said that, it is a DVD I will treasure for years to come."
17,"I have a thing against purchasing live DVDs. After all, how many times do you want to sit and watch a gig that you probably weren't even there for in the first place?

But as a dedicated X fan, I couldn't resist checking this out, and I'm thrilled that I did. This is the band in top-notch form.

It's encouraging that people who weren't around L.A. during X's heyday are finally clueing in to how historically important they were, and still are. And this DVD proves they're still as vital and viable as ever.

Do yourself a favor. If you've wandered to this page, there must be a reason. Don't leave without purchasing this DVD. You'll be glad you did, whether you're a diehard fan like myself, or a fan of music who is simply curious. All hail X, and may they continue to make music together for years to come."
18,"This DVD is unbelievable!  If you are a fan of punk rock, you have to own this DVD.  They play all of their classic songs and the bonus footage is amazing.  I think my favorite part is when they play ""White Girl.""  X has been around for a long time and this is their first live concert DVD, so it makes it even more awesome.  And the liner notes by Flea of The Red Hot Chili Peppers are really cool too.  Definitely buy this DVD!  It's worth every penny!"
